navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,cluster_size
0.0,0.0,10.35,1.2080602693602693,103.55772540963176,2810.0,281.5,2
0.0,0.0,10.75,1.2086960437710437,103.55595564505155,2810.0,281.5,2
0.0,0.0,10.75,1.2092842592592592,103.55420741097005,2815.0,282.0,2
0.0,0.0,11.149999999999999,1.2092842592592592,103.55068944206661,2815.0,282.0,2
0.0,0.0,11.35,1.2099200336700338,103.54891967626618,2810.0,282.0,2
0.0,0.0,11.600000000000001,1.2105082491582493,103.54717144102852,2815.0,282.0,2
0.0,0.0,11.600000000000001,1.2105082491582493,103.54365347133802,2820.0,283.0,2
0.0,0.0,12.550000000000001,1.2111440235690236,103.54188370431629,2820.0,283.0,2
0.0,0.0,12.600000000000001,1.2117322390572389,103.54013546792152,2825.0,283.0,2
0.0,0.0,12.65,1.2117322390572389,103.53661749744352,2830.0,282.5,2
